date,open,high,low,close,volume,regime
2023-01-01,100.06393008723659,100.32983737807504,99.67016262192496,100.0,10951,trending_up
2023-01-02,100.35537076391013,101.01390344858827,99.94083919622973,100.477371322409,9063,trending_up
2023-01-03,100.6045680610672,100.97998485696802,99.91324264549526,100.44661375123164,108617,trending_up
2023-01-04,101.36370571466782,101.39566709889745,100.699204912251,101.04743600557423,6264,trending_up
2023-01-05,102.76034553514906,103.06584587533989,101.65307422461699,102.35946004997844,30964,trending_up
2023-01-06,102.1689854976171,102.97920232593174,101.52000790201612,102.24960511397393,47599,trending_up
2023-01-07,102.50156520966256,102.85170633209987,101.42805668178008,102.13988150693997,149724,trending_up
2023-01-08,103.48556465681764,104.22573862654329,102.79825795535044,103.51199829094686,38474,trending_up
2023-01-09,104.25796694208255,104.72172586663733,103.73890915048175,104.23031750855954,96914,trending_up
2023-01-10,104.43148879172297,104.45496278744879,103.38950530875381,103.9222340481013,93506,trending_up
2023-01-11,103.87812535883123,105.1538455894691,103.75904291056547,104.45644425001728,68713,trending_up
2023-01-12,104.76101490633738,104.8819859733885,103.42352140714631,104.1527536902674,24803,trending_up
2023-01-13,103.89026809689697,104.31565826603398,103.38038093944795,103.84801960274096,104207,trending_up
2023-01-14,104.19657183405033,104.63904747061686,103.62518540976085,104.13211644018885,90199,trending_up
2023-01-15,102.83697485040504,103.03900924090553,102.20409228626579,102.62155076358566,208930,trending_up
2023-01-16,101.64670637303111,101.7820734097934,100.79300271200366,101.28753806089853,115272,trending_up
2023-01-17,101.23075519836148,101.44299129530866,100.38290137507921,100.91294633519394,38502,trending_up
2023-01-18,100.34242367467719,100.44586519195626,99.90616383268117,100.17601451231872,164838,trending_up
2023-01-19,100.47306563680753,100.89993629819688,100.1160550752686,100.50799568673274,51528,trending_up
2023-01-20,99.64012500293937,100.58397850161968,99.13260678708961,99.85829264435465,6325,trending_up
2023-01-21,98.86545943325777,99.05861693077912,98.56125784519082,98.80993738798497,44618,trending_up
2023-01-22,100.52044387730484,100.53718088578351,99.55792039944585,100.04755064261468,23032,trending_up
2023-01-23,100.33964793812801,100.35879377281906,99.53496973972922,99.94688175627414,124932,trending_up
2023-01-24,99.55307960728128,100.70868078248691,99.45298547669793,100.08083312959242,1562,trending_up
2023-01-25,98.71474500166156,99.35114006095559,98.68921576361869,99.02017791228714,126235,trending_up
2023-01-26,98.81816352698979,99.19347372257874,98.14283639889746,98.6681550607381,16702,trending_up
2023-01-27,99.23772143433433,99.33617598060043,98.33311562547267,98.83464580303655,16147,trending_up
2023-01-28,97.69475920209646,98.64060918322592,97.3666891753944,98.00364917931016,181346,trending_up
2023-01-29,98.36901461249175,98.93635624802567,97.81686437787855,98.37661031295211,68969,trending_up
2023-01-30,98.36611204434674,98.61760735862246,97.34759507039008,97.98260121450627,10476,trending_up
2023-01-31,97.57759262713898,98.21828728249636,97.44639271065526,97.83233999657581,75548,trending_up
2023-02-01,97.87531649424115,98.0370908952261,96.84225898806702,97.43967494164656,280271,trending_up
2023-02-02,99.21612790145065,99.34843888044746,98.57458062995316,98.96150975520031,164755,trending_up
2023-02-03,99.0863812919102,99.34784006284353,98.71214657136427,99.0299933171039,78241,trending_up
2023-02-04,98.1204939057333,98.63621471271065,97.90629821118964,98.27125646195014,118139,trending_up
2023-02-05,98.8497590371684,99.4181931670899,98.57487411928977,98.99653364318984,103487,trending_up
2023-02-06,98.0347611931082,98.36491256944915,97.85280053928075,98.10885655436495,30131,trending_up
2023-02-07,98.22779914152608,98.96657620923985,97.73597296568504,98.35127458746244,44164,trending_up
2023-02-08,97.00464595420333,97.3954180840223,96.3807162589698,96.88806717149605,121626,trending_up
2023-02-09,96.19982536666275,96.62924498262373,95.2429442018921,95.93609459225792,6382,trending_up
2023-02-10,96.51235492645384,96.80509325536502,95.52277125083262,96.16393225309882,29541,trending_up
2023-02-11,96.3520616372575,97.50840281542291,96.1095455850974,96.80897420026015,110993,trending_up
2023-02-12,96.92769032115946,97.67933860465814,96.358943954782,97.01914127972007,332908,trending_up
2023-02-13,97.313436494154,97.67822817528548,96.33576345743771,97.0069958163616,17250,trending_up
2023-02-14,97.33491469017876,97.5089640093789,96.19289217763733,96.85092809350812,879,trending_up
