timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2025-04-24 15:38:00+00:00,SPY250506P00551000,13.64,13.64,13.64,13.64,1.0,1.0,13.64
2025-04-24 18:12:00+00:00,SPY250506P00551000,12.17,12.17,12.17,12.17,19.0,2.0,12.17
2025-04-25 13:30:00+00:00,SPY250506P00551000,10.69,10.69,10.69,10.69,20.0,1.0,10.69
2025-04-25 14:13:00+00:00,SPY250506P00551000,10.34,10.34,10.34,10.34,15.0,1.0,10.34
2025-04-25 15:23:00+00:00,SPY250506P00551000,9.94,9.94,9.94,9.94,10.0,1.0,9.94
2025-04-25 16:22:00+00:00,SPY250506P00551000,9.46,9.46,9.46,9.46,10.0,1.0,9.46
2025-04-25 17:21:00+00:00,SPY250506P00551000,8.32,8.32,8.32,8.32,1.0,1.0,8.32
2025-04-25 17:31:00+00:00,SPY250506P00551000,8.28,8.28,8.28,8.28,2.0,1.0,8.28
2025-04-25 17:57:00+00:00,SPY250506P00551000,10.26,10.26,10.26,10.26,40.0,1.0,10.26
2025-04-25 17:58:00+00:00,SPY250506P00551000,10.34,10.34,10.34,10.34,27.0,3.0,10.34
2025-04-25 18:26:00+00:00,SPY250506P00551000,8.61,8.61,8.61,8.61,1.0,1.0,8.61
2025-04-25 18:29:00+00:00,SPY250506P00551000,8.69,8.69,8.69,8.69,3.0,1.0,8.69
2025-04-25 18:48:00+00:00,SPY250506P00551000,8.2,8.2,8.2,8.2,2.0,1.0,8.2
2025-04-25 19:10:00+00:00,SPY250506P00551000,8.26,8.26,8.26,8.26,1.0,1.0,8.26
2025-04-25 19:16:00+00:00,SPY250506P00551000,8.5,8.5,8.5,8.5,1.0,1.0,8.5
2025-04-25 19:25:00+00:00,SPY250506P00551000,8.2,8.23,8.2,8.23,2.0,2.0,8.215
2025-04-25 19:31:00+00:00,SPY250506P00551000,8.7,8.7,8.7,8.7,4.0,1.0,8.7
2025-04-25 19:57:00+00:00,SPY250506P00551000,8.05,8.05,8.05,8.05,1.0,1.0,8.05
