timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2025-04-25 16:02:00+00:00,SPY250508C00551000,7.77,7.77,7.77,7.77,2.0,2.0,7.77
2025-04-25 16:39:00+00:00,SPY250508C00551000,8.36,8.36,8.36,8.36,5.0,4.0,8.36
2025-04-25 16:43:00+00:00,SPY250508C00551000,8.45,8.45,8.45,8.45,5.0,1.0,8.45
2025-04-25 17:03:00+00:00,SPY250508C00551000,8.45,8.45,8.45,8.45,2.0,2.0,8.45
2025-04-25 17:23:00+00:00,SPY250508C00551000,9.38,9.38,9.38,9.38,3.0,2.0,9.38
2025-04-25 17:32:00+00:00,SPY250508C00551000,9.35,9.35,9.35,9.35,1.0,1.0,9.35
2025-04-25 17:34:00+00:00,SPY250508C00551000,9.4,9.4,9.4,9.4,4.0,1.0,9.4
2025-04-25 17:38:00+00:00,SPY250508C00551000,8.78,8.78,8.78,8.78,1.0,1.0,8.78
2025-04-25 17:57:00+00:00,SPY250508C00551000,8.02,8.02,8.02,8.02,1.0,1.0,8.02
2025-04-25 18:28:00+00:00,SPY250508C00551000,9.17,9.17,9.17,9.17,2.0,1.0,9.17
2025-04-25 19:12:00+00:00,SPY250508C00551000,9.18,9.18,9.18,9.18,1.0,1.0,9.18
2025-04-25 19:40:00+00:00,SPY250508C00551000,8.72,8.72,8.72,8.72,2.0,1.0,8.72
